Water_Type,WT_Group,Description,WT_Group_Model_1,Banking_partner,Purchas1_Sell0
CXSTRV,N/A,CREDIT FOR STRCV THAT WAS EXCHANGED,recover_banked,SMI,
CHARGE,N/A,CHARGED FROM THE DELTA,,,
CONVLOSS,N/A,CONVEYANCE LOSSES PER CONTRACT,,,
CREDIT,N/A,GENERIC CREDIT,,,
CREDITSTOR,N/A,CREDIT TO 12E FOR WATER STORED IN O'NEIL,,,
EWA001,N/A,E/I RELAXATION,,,
EWA003,N/A,WATER PURCHASE FROM NON SWP CONTRACTOR,,,
FEDBANKS,N/A,FEDERAL WATER PUMPED AT BANKS BY DWR,,,
FEDJTU,N/A,FED DELIVERY TO FED CONTRACTOR IN JUF,,,
INFLOW,N/A,NATURAL INFLOW INTO AQUED.SUCH AS FLOOD,,,
LOSSES,N/A,MISCELLANEOUS LOSSES,,,
OUTSIDE,N/A,WATER TRANSFERRED OUTSIDE OF SWP,,,
SWPCONSTRU,N/A,STATE WATER PROJECT CONSTRUCTION,,,
CVCENT,Other NSWP,CVC ALLOCATED WATER,cvc_delivery,,
CVC-OVER,Other NSWP,CVC WATER THAT WAS OVER DELIVERED,cvc_delivery,,
CVCPOD,Other NSWP,CHANGE IN POINT OF DELIVERY FOR CVC,cvc_delivery,,
CVCTRN,Other NSWP,CVC TO SWPC OR NON-SWPC TRANSFER,cvc_delivery,,
OPERXCH,Other NSWP,ADJ CVC DELIV. TO REACHES OTHER THAN 12E,cvc_delivery,,
CVC215,Other NSWP,CVC SURPLUS WATER,cvc_flood,,
CVPPOD,Other NSWP,CHANGE IN POINT OF DELIVERY FOR CVP,cvpdelta_delivery,,
DCVCCN,Other NSWP,DCVC CONVEYANCE (SWP DELIVERIES TO FED),cvpdelta_delivery,,
JNTPNT,Other NSWP,CVP WATER CONVEYED THRU SWP FACILITIES,cvpdelta_delivery,,
CVPF&W,Other NSWP,CVP FISH & WILDLIFE 45%,Environmental,,
CVPP&R,Other NSWP,CVP PARKS & RECREATION 45%,Environmental,,
FEDCNV,Other NSWP,SWP WLNG FED WATER THR SWP FACILITY,,,
FEDCON,Other NSWP,NON-SWPC ANNUAL CONTRACT,,,
GENCNV,Other NSWP,GENERAL CONVEYANCE,,,
GENCNV-X,Other NSWP,GENERAL CONVEYANCE THROUGH AN EXCHANGE,,,
OTHTRN,Other NSWP,NON-SWPC TO NON-SWPC TRANSFER,,,
PMPRCVFED,Other NSWP,RECOV OF SAME FED CONTRACTOR PUMPIN,,,
TRN,Other NSWP,NON-SWPC TO SWPC TRANSFER,,,
TRN215,Other NSWP,NON-SWPC SURPLUS TRANSFERED TO A SWPC,,,
XCH,Other NSWP,NON-SWPC TO SWPC EXCHANGE,,,
XCH215,Other NSWP,NON-SWPC SURPLUS EXCHANGED WITH SWPC,,,
SWPF&W,OTHER SWP,SWP FISH & GAME,Environmental,,
SWPP&R,OTHER SWP,SWP PARK & RECREATION,Environmental,,
TBLA01,OTHER SWP,2001 TABLE A CREDIT OWED TO EMPIRE,tableA_delivery,,
TBLA02,OTHER SWP,2002 TABLE A CREDIT OWED TO EMPIRE,tableA_delivery,,
TBLA07,OTHER SWP,2007 TABLE A CREDIT OWED TO EMPIRE,tableA_delivery,,
TBLA08,OTHER SWP,2008 TABLE A CREDIT OWED TO EMPIRE,tableA_delivery,,
TBLAADV,OTHER SWP,ADVANCED TABLE A WATER,tableA_delivery,,
09DWB,OTHER SWP,2009 DROUGHT WATER BANK,,,
XCHEWA,OTHER SWP,EWA EXCHANGED TO SWPC,,,
BACKUPCO,SLR Storage Carryover,"CARRYOVER OF PUMPED-IN, BACKED UP WATER",tableA_carryover,,
GNCVSTRCO,SLR Storage Carryover,"CARRYOVER OF GEN CONVEYANCE, BACKED-UP",tableA_carryover,,
PMPSTORECO,SLR Storage Carryover,"CARRYOVER OF PUMPED-IN, BACKED UP WATER",tableA_carryover,,
BKUPSTORE,SLR Storage Requested,WATER STORED IN O'NIEL,,,
GNCVSTORE,SLR Storage Requested,WATER STORED IN O'NEILL,,,
PMPSTORE,SLR Storage Requested,"PUMPED-IN, BACKED UP WATER",,,
SALEMPCO,Sold-CO,C/O SOLD UNDER MULTI POOL DEMO 2013,tableA_turnback,,0
SALEMPTBLA,Sold-TBLA,TBLA SOLD UNDER MULTI POOL DEMO 2013,tableA_turnback,,0
SALEPA,Sold-TBLA,SALE OF POOL A TURN BACK,tableA_turnback,,0
SALEPB,Sold-TBLA,SALE OF POOL B TURN BACK,tableA_turnback,,0
TBLA,Table A,TABLE A WATER,tableA_delivery,,
TBLATOTH,Table A,TRANSFER TABLE A WATER TO NON-SWPC,tableA_delivery,,
TBLATRAN,Table A,TRANSFER OF TABLE A WATER,tableA_delivery,,
TBLAXCH,Table A,EXCHANGED TABLE A WATER,tableA_delivery,,
TBLAXOTH,Table A,EXCHANGE TABLE A WATER TO NON-SWPC,tableA_delivery,,
TBLAXAE,Table A Accounting Adjustments,EXCHANGE TABLE A WATER FOR AE BANKED,exchanged_SW,ARV,
TBLAXKD,Table A Accounting Adjustments,EXCHANGED TABLE A WATER FOR KD BANKED,exchanged_SW,KND,
TBLAXKWB,Table A Accounting Adjustments,TABLE A EXCHANGE FOR KWB,exchanged_SW,KWB,
TBLAXSPLY,Table A Accounting Adjustments,TABLE A EXCHANGE SUPPLY,exchanged_SW,,
TBLAXST,Table A Accounting Adjustments,EXCHANGE TABLE A WATER FOR ST BANKED,exchanged_SW,SMI,
TBLADEBIT,Table A Accounting Adjustments,TABLE A DEDUCTION,,,
TBLAEWA,Table A Accounting Adjustments,TABLE A WATER TO EWA,,,
TBLATSPLY,Table A Accounting Adjustments,Table A transfer supply,,,
TBLAUSED,Table A Accounting Adjustments,TABLE A USED BUT NOT DELIVERED,,,
TBLAX3A,Table A Accounting Adjustments,DOES NOT HAVE A COUNTER PART,,,
TBLAXGWD,Table A Accounting Adjustments,1990 GROUND WATER DEMO,,,
POOLA,Turnback Pools,DELIVERY OF POOL A TURN BACK,tableA_turnback,,1
POOLB,Turnback Pools,DELIVERY OF POOL B TURN BACK,tableA_turnback,,1
POOLMP,Turnback Pools,DELIVERY UNDER MULTI POOL DEMO 2013,tableA_turnback,,1
PUMPIN,Water Bank Pumpin,CREDIT FOR WATER PUMPED IN,recover_banked,,
PUMPINAE,Water Bank Pumpin,PUMPIN FOR ARVIN EDISON RECOVERY,recover_banked,AEMWD,
PUMPINBKUP,Water Bank Pumpin,PUMPIN AND BACKED UP INTO SAN LUIS RES,recover_banked,,
PUMPINCNV,Water Bank Pumpin,PUMPIN FOR GENERAL CONVEYANCE RCV,recover_banked,,
PUMPINEWA,Water Bank Pumpin,PUMPIN FOR EWA,recover_banked,,
PUMPINFED,Water Bank Pumpin,PUMP INTO PROJECT BY FEDERAL CONTRACTOR,recover_banked,,
PUMPINKD,Water Bank Pumpin,PUMPIN FOR KERN DELTA RECOVERY,recover_banked,KND,
PUMPINKWB,Water Bank Pumpin,PUMPIN FOR KWB RECOVERY,recover_banked,KWB,
PUMPINST,Water Bank Pumpin,PUMPIN FOR SEMI TROPIC RECOVERY,recover_banked,SMI,
78RCV,Water Bank Recovery,78 METROPOLITAN WATER BANK RECOVERY,recover_banked,SOC,
82RCV,Water Bank Recovery,82 METROPOLITAN WATER BANK RECOVERY,recover_banked,SOC,
KWBRCV,Water Bank Recovery,KERN WATER BANK RECOVERY,recover_banked,KWB,
PMPRCV,Water Bank Recovery,RECOVERY OF SAME CONTRACTORS PUMPIN,recover_banked,,
STEWA,Water Bank Recovery,ST RECOVERY TRANSACTIONS W/EWA,recover_banked,SMI,
STEWA-X,Water Bank Recovery,WATER BANK RECOVERY THROUGH AN EXCHANGE,recover_banked,SMI,
STRCV,Water Bank Recovery,ST BANK RECOVERY,recover_banked,SMI,
STRCV-X,Water Bank Recovery,RECOVERY SUPPLIED THROUGH AN EXCHANGE,recover_banked,SMI,
