Parameter,Region,Crop,Input,Level
BETA_DEC,D04,CORN,WATER,0
BETA_DEC,D04,CORN,LABOR,0
BETA_DEC,D04,CORN,SUPPL,0
BETA_DEC,D04,COTTN,LAND,0
BETA_DEC,D04,COTTN,WATER,0
BETA_DEC,D04,COTTN,LABOR,0
BETA_DEC,D04,COTTN,SUPPL,0
BETA_DEC,D04,CUCUR,LAND,0
BETA_DEC,D04,CUCUR,WATER,0
BETA_DEC,D04,CUCUR,LABOR,0
BETA_DEC,D04,CUCUR,SUPPL,0
BETA_DEC,D04,DRYBN,LAND,0
BETA_DEC,D04,DRYBN,WATER,0
BETA_DEC,D04,DRYBN,LABOR,0
BETA_DEC,D04,DRYBN,SUPPL,0
BETA_DEC,D04,FRTOM,LAND,0
BETA_DEC,D04,FRTOM,WATER,0
BETA_DEC,D04,FRTOM,LABOR,0
BETA_DEC,D04,FRTOM,SUPPL,0
BETA_DEC,D04,GRAIN,LAND,0
BETA_DEC,D04,GRAIN,WATER,0
BETA_DEC,D04,GRAIN,LABOR,0
BETA_DEC,D04,GRAIN,SUPPL,0
BETA_DEC,D04,ONGAR,LAND,7.2513E-06
BETA_DEC,D04,ONGAR,WATER,8.97732E-05
BETA_DEC,D04,ONGAR,LABOR,0.001213005
BETA_DEC,D04,ONGAR,SUPPL,0.998689971
BETA_DEC,D04,OTHDEC,LAND,0
BETA_DEC,D04,OTHDEC,WATER,0
BETA_DEC,D04,OTHDEC,LABOR,0
BETA_DEC,D04,OTHDEC,SUPPL,0
BETA_DEC,D04,OTHFLD,LAND,0
BETA_DEC,D04,OTHFLD,WATER,0
BETA_DEC,D04,OTHFLD,LABOR,0
BETA_DEC,D04,OTHFLD,SUPPL,0
BETA_DEC,D04,OTHTRK,LAND,5.3929E-06
BETA_DEC,D04,OTHTRK,WATER,1.7466E-06
BETA_DEC,D04,OTHTRK,LABOR,4.88155E-05
BETA_DEC,D04,OTHTRK,SUPPL,0.999944045
BETA_DEC,D04,PASTR,LAND,0
BETA_DEC,D04,PASTR,WATER,0
BETA_DEC,D04,PASTR,LABOR,0
BETA_DEC,D04,PASTR,SUPPL,0
BETA_DEC,D04,POTATO,LAND,0
BETA_DEC,D04,POTATO,WATER,0
BETA_DEC,D04,POTATO,LABOR,0
BETA_DEC,D04,POTATO,SUPPL,0
BETA_DEC,D04,PRTOM,LAND,0
BETA_DEC,D04,PRTOM,WATER,0
BETA_DEC,D04,PRTOM,LABOR,0
BETA_DEC,D04,PRTOM,SUPPL,0
BETA_DEC,D04,RICE,LAND,0
BETA_DEC,D04,RICE,WATER,0
BETA_DEC,D04,RICE,LABOR,0
BETA_DEC,D04,RICE,SUPPL,0
BETA_DEC,D04,SAFLR,LAND,0
BETA_DEC,D04,SAFLR,WATER,0
BETA_DEC,D04,SAFLR,LABOR,0
BETA_DEC,D04,SAFLR,SUPPL,0
BETA_DEC,D04,SBEET,LAND,0
BETA_DEC,D04,SBEET,WATER,0
BETA_DEC,D04,SBEET,LABOR,0
BETA_DEC,D04,SBEET,SUPPL,0
BETA_DEC,D04,SUBTRP,LAND,0.024742791
BETA_DEC,D04,SUBTRP,WATER,0.922979581
BETA_DEC,D04,SUBTRP,LABOR,0.000193302
BETA_DEC,D04,SUBTRP,SUPPL,0.052084326
BETA_DEC,D04,VINE,LAND,0
BETA_DEC,D04,VINE,WATER,0
BETA_DEC,D04,VINE,LABOR,0
BETA_DEC,D04,VINE,SUPPL,0
BETA_DEC,D01,ALFAL,LAND,0
BETA_DEC,D01,ALFAL,WATER,0
BETA_DEC,D01,ALFAL,LABOR,0
BETA_DEC,D01,ALFAL,SUPPL,0
BETA_DEC,D01,ALPIS,LAND,0
BETA_DEC,D01,ALPIS,WATER,0
BETA_DEC,D01,ALPIS,LABOR,0
BETA_DEC,D01,ALPIS,SUPPL,0
BETA_DEC,D01,CORN,LAND,0
BETA_DEC,D01,CORN,WATER,0
BETA_DEC,D01,CORN,LABOR,0
BETA_DEC,D01,CORN,SUPPL,0
BETA_DEC,D01,COTTN,LAND,0
BETA_DEC,D01,COTTN,WATER,0
BETA_DEC,D01,COTTN,LABOR,0
BETA_DEC,D01,COTTN,SUPPL,0
BETA_DEC,D01,CUCUR,LAND,0
BETA_DEC,D01,CUCUR,WATER,0
BETA_DEC,D01,CUCUR,LABOR,0
BETA_DEC,D01,CUCUR,SUPPL,0
BETA_DEC,D01,DRYBN,LAND,0
BETA_DEC,D01,DRYBN,WATER,0
BETA_DEC,D01,DRYBN,LABOR,0
BETA_DEC,D01,DRYBN,SUPPL,0
BETA_DEC,D01,FRTOM,LAND,0
BETA_DEC,D01,FRTOM,WATER,0
BETA_DEC,D01,FRTOM,LABOR,0
BETA_DEC,D01,FRTOM,SUPPL,0
BETA_DEC,D01,GRAIN,LAND,0
BETA_DEC,D01,GRAIN,WATER,0
BETA_DEC,D01,GRAIN,LABOR,0
BETA_DEC,D01,GRAIN,SUPPL,0
BETA_DEC,D01,ONGAR,LAND,0
BETA_DEC,D01,ONGAR,WATER,0
BETA_DEC,D01,ONGAR,LABOR,0
BETA_DEC,D01,ONGAR,SUPPL,0
BETA_DEC,D01,OTHDEC,LAND,0
BETA_DEC,D01,OTHDEC,WATER,0
BETA_DEC,D01,OTHDEC,LABOR,0
BETA_DEC,D01,OTHDEC,SUPPL,0
BETA_DEC,D01,OTHFLD,LAND,0
BETA_DEC,D01,OTHFLD,WATER,0
BETA_DEC,D01,OTHFLD,LABOR,0
BETA_DEC,D01,OTHFLD,SUPPL,0
BETA_DEC,D01,OTHTRK,LAND,0
BETA_DEC,D01,OTHTRK,WATER,0
BETA_DEC,D01,OTHTRK,LABOR,0
BETA_DEC,D01,OTHTRK,SUPPL,0
BETA_DEC,D01,PASTR,LAND,0
BETA_DEC,D01,PASTR,WATER,0
BETA_DEC,D01,PASTR,LABOR,0
BETA_DEC,D01,PASTR,SUPPL,0
BETA_DEC,D01,POTATO,LAND,0
BETA_DEC,D01,POTATO,WATER,0
BETA_DEC,D01,POTATO,LABOR,0
BETA_DEC,D01,POTATO,SUPPL,0
BETA_DEC,D01,PRTOM,LAND,0
BETA_DEC,D01,PRTOM,WATER,0
BETA_DEC,D01,PRTOM,LABOR,0
BETA_DEC,D01,PRTOM,SUPPL,0
BETA_DEC,D01,RICE,LAND,0
BETA_DEC,D01,RICE,WATER,0
BETA_DEC,D01,RICE,LABOR,0
BETA_DEC,D01,RICE,SUPPL,0
BETA_DEC,D01,SAFLR,LAND,0
BETA_DEC,D01,SAFLR,WATER,0
BETA_DEC,D01,SAFLR,LABOR,0
BETA_DEC,D01,SAFLR,SUPPL,0
BETA_DEC,D01,SBEET,LAND,0
BETA_DEC,D01,SBEET,WATER,0
BETA_DEC,D01,SBEET,LABOR,0
BETA_DEC,D01,SBEET,SUPPL,0
BETA_DEC,D01,SUBTRP,LAND,0
BETA_DEC,D01,SUBTRP,WATER,0
BETA_DEC,D01,SUBTRP,LABOR,0
BETA_DEC,D01,SUBTRP,SUPPL,0
BETA_DEC,D01,VINE,LAND,0
BETA_DEC,D01,VINE,WATER,0
BETA_DEC,D01,VINE,LABOR,0
BETA_DEC,D01,VINE,SUPPL,0
BETA_DEC,D05,ALFAL,LAND,0
BETA_DEC,D05,ALFAL,WATER,0
BETA_DEC,D05,ALFAL,LABOR,0
BETA_DEC,D05,ALFAL,SUPPL,0
BETA_DEC,D05,ALPIS,LAND,0.005260804
BETA_DEC,D05,ALPIS,WATER,0.994739196
BETA_DEC,D05,ALPIS,LABOR,0
BETA_DEC,D05,ALPIS,SUPPL,0
BETA_DEC,D05,CORN,LAND,0
BETA_DEC,D05,CORN,WATER,0
BETA_DEC,D05,CORN,LABOR,0
BETA_DEC,D05,CORN,SUPPL,0
BETA_DEC,D05,COTTN,LAND,0
BETA_DEC,D05,COTTN,WATER,0
BETA_DEC,D05,COTTN,LABOR,0
BETA_DEC,D05,COTTN,SUPPL,0
BETA_DEC,D05,CUCUR,LAND,4.1E-09
BETA_DEC,D05,CUCUR,WATER,1.23E-08
BETA_DEC,D05,CUCUR,LABOR,0.987042179
BETA_DEC,D05,CUCUR,SUPPL,0.012957805
BETA_DEC,D05,DRYBN,LAND,0
BETA_DEC,D05,DRYBN,WATER,0
BETA_DEC,D05,DRYBN,LABOR,0
BETA_DEC,D05,DRYBN,SUPPL,0
BETA_DEC,D05,FRTOM,LAND,0
BETA_DEC,D05,FRTOM,WATER,0
BETA_DEC,D05,FRTOM,LABOR,0
BETA_DEC,D05,FRTOM,SUPPL,0
BETA_DEC,D05,GRAIN,LAND,0.247017238
BETA_DEC,D05,GRAIN,WATER,0.75298255
BETA_DEC,D05,GRAIN,LABOR,0
BETA_DEC,D05,GRAIN,SUPPL,2.118E-07
BETA_DEC,D05,ONGAR,LAND,0
BETA_DEC,D05,ONGAR,WATER,0
BETA_DEC,D05,ONGAR,LABOR,0
BETA_DEC,D05,ONGAR,SUPPL,0
BETA_DEC,D05,OTHDEC,LAND,0.013709744
BETA_DEC,D05,OTHDEC,WATER,0.986290253
BETA_DEC,D05,OTHDEC,LABOR,0
BETA_DEC,D05,OTHDEC,SUPPL,3.7E-09
BETA_DEC,D05,OTHFLD,LAND,0.003237649
BETA_DEC,D05,OTHFLD,WATER,0.996762315
BETA_DEC,D05,OTHFLD,LABOR,3E-10
BETA_DEC,D05,OTHFLD,SUPPL,3.63E-08
BETA_DEC,D05,OTHTRK,LAND,0.591985369
BETA_DEC,D05,OTHTRK,WATER,0.407860511
BETA_DEC,D05,OTHTRK,LABOR,7.6E-09
BETA_DEC,D05,OTHTRK,SUPPL,0.000154113
BETA_DEC,D05,PASTR,LAND,0
BETA_DEC,D05,PASTR,WATER,0
BETA_DEC,D05,PASTR,LABOR,0
BETA_DEC,D05,PASTR,SUPPL,0
BETA_DEC,D05,POTATO,LAND,0
BETA_DEC,D05,POTATO,WATER,0
BETA_DEC,D05,POTATO,LABOR,0
BETA_DEC,D05,POTATO,SUPPL,0
BETA_DEC,D05,PRTOM,LAND,0
BETA_DEC,D05,PRTOM,WATER,0
BETA_DEC,D05,PRTOM,LABOR,0
BETA_DEC,D05,PRTOM,SUPPL,0
BETA_DEC,D05,RICE,LAND,0
BETA_DEC,D05,RICE,WATER,0
BETA_DEC,D05,RICE,LABOR,0
BETA_DEC,D05,RICE,SUPPL,0
BETA_DEC,D05,SAFLR,LAND,0.008543796
BETA_DEC,D05,SAFLR,WATER,0.991456187
BETA_DEC,D05,SAFLR,LABOR,3E-10
BETA_DEC,D05,SAFLR,SUPPL,1.71E-08
BETA_DEC,D05,SBEET,LAND,0
BETA_DEC,D05,SBEET,WATER,0
BETA_DEC,D05,SBEET,LABOR,0
BETA_DEC,D05,SBEET,SUPPL,0
BETA_DEC,D05,SUBTRP,LAND,0
BETA_DEC,D05,SUBTRP,WATER,0
BETA_DEC,D05,SUBTRP,LABOR,0
BETA_DEC,D05,SUBTRP,SUPPL,0
BETA_DEC,D05,VINE,LAND,0.019303224
BETA_DEC,D05,VINE,WATER,0.974370838
BETA_DEC,D05,VINE,LABOR,0.006015191
BETA_DEC,D05,VINE,SUPPL,0.000310747
BETA_DEC,D06,ALFAL,LAND,0.001255185
BETA_DEC,D06,ALFAL,WATER,0.998744815
BETA_DEC,D06,ALFAL,LABOR,0
BETA_DEC,D06,ALFAL,SUPPL,0
BETA_DEC,D06,ALPIS,LAND,0.009421432
BETA_DEC,D06,ALPIS,WATER,0.990578568
BETA_DEC,D06,ALPIS,LABOR,0
BETA_DEC,D06,ALPIS,SUPPL,0
BETA_DEC,D06,CORN,LAND,0.058781102
BETA_DEC,D06,CORN,WATER,0.941218898
BETA_DEC,D06,CORN,LABOR,0
BETA_DEC,D06,CORN,SUPPL,0
BETA_DEC,D06,COTTN,LAND,0.005131971
BETA_DEC,D06,COTTN,WATER,0.994868029
BETA_DEC,D06,COTTN,LABOR,0
BETA_DEC,D06,COTTN,SUPPL,0
BETA_DEC,D06,CUCUR,LAND,0.000412842
BETA_DEC,D06,CUCUR,WATER,0.000613196
BETA_DEC,D06,CUCUR,LABOR,0.986029452
BETA_DEC,D06,CUCUR,SUPPL,0.01294451
BETA_DEC,D06,DRYBN,LAND,0.081604086
BETA_DEC,D06,DRYBN,WATER,0.918395457
BETA_DEC,D06,DRYBN,LABOR,1.3E-09
BETA_DEC,D06,DRYBN,SUPPL,4.563E-07
BETA_DEC,D06,FRTOM,LAND,0
BETA_DEC,D06,FRTOM,WATER,0
BETA_DEC,D06,FRTOM,LABOR,0
BETA_DEC,D06,FRTOM,SUPPL,0
BETA_DEC,D06,GRAIN,LAND,0.448170449
BETA_DEC,D06,GRAIN,WATER,0.551829551
BETA_DEC,D06,GRAIN,LABOR,0
BETA_DEC,D06,GRAIN,SUPPL,0
BETA_DEC,D06,ONGAR,LAND,0.052741566
BETA_DEC,D06,ONGAR,WATER,0.94555662
BETA_DEC,D06,ONGAR,LABOR,2.0645E-06
BETA_DEC,D06,ONGAR,SUPPL,0.00169975
BETA_DEC,D06,OTHDEC,LAND,0.023756058
BETA_DEC,D06,OTHDEC,WATER,0.97624392
BETA_DEC,D06,OTHDEC,LABOR,0
BETA_DEC,D06,OTHDEC,SUPPL,2.26E-08
BETA_DEC,D06,OTHFLD,LAND,0.00961534
BETA_DEC,D06,OTHFLD,WATER,0.99038466
BETA_DEC,D06,OTHFLD,LABOR,0
BETA_DEC,D06,OTHFLD,SUPPL,0
BETA_DEC,D06,OTHTRK,LAND,0.369207776
BETA_DEC,D06,OTHTRK,WATER,0.630759697
BETA_DEC,D06,OTHTRK,LABOR,1.6E-09
BETA_DEC,D06,OTHTRK,SUPPL,3.25254E-05
BETA_DEC,D06,PASTR,LAND,0.000286095
BETA_DEC,D06,PASTR,WATER,0.999713905
BETA_DEC,D06,PASTR,LABOR,0
BETA_DEC,D06,PASTR,SUPPL,0
BETA_DEC,D06,POTATO,LAND,0
BETA_DEC,D06,POTATO,WATER,0
BETA_DEC,D06,POTATO,LABOR,0
BETA_DEC,D06,POTATO,SUPPL,0
BETA_DEC,D06,PRTOM,LAND,0.187989866
BETA_DEC,D06,PRTOM,WATER,0.811992495
BETA_DEC,D06,PRTOM,LABOR,6.42E-08
BETA_DEC,D06,PRTOM,SUPPL,1.75744E-05
BETA_DEC,D06,RICE,LAND,0
BETA_DEC,D06,RICE,WATER,0
BETA_DEC,D06,RICE,LABOR,0
BETA_DEC,D06,RICE,SUPPL,0
BETA_DEC,D06,SAFLR,LAND,0.027468707
BETA_DEC,D06,SAFLR,WATER,0.972529957
BETA_DEC,D06,SAFLR,LABOR,2.41E-08
BETA_DEC,D06,SAFLR,SUPPL,1.3118E-06
BETA_DEC,D06,SBEET,LAND,0
BETA_DEC,D06,SBEET,WATER,0
BETA_DEC,D06,SBEET,LABOR,0
BETA_DEC,D06,SBEET,SUPPL,0
BETA_DEC,D06,SUBTRP,LAND,0.049125544
BETA_DEC,D06,SUBTRP,WATER,0.950846366
BETA_DEC,D06,SUBTRP,LABOR,1.039E-07
BETA_DEC,D06,SUBTRP,SUPPL,2.79864E-05
BETA_DEC,D06,VINE,LAND,0.038012186
BETA_DEC,D06,VINE,WATER,0.961987813
BETA_DEC,D06,VINE,LABOR,5E-10
BETA_DEC,D06,VINE,SUPPL,0
BETA_DEC,D07,ALFAL,LAND,0.001136893
BETA_DEC,D07,ALFAL,WATER,0.998863107
BETA_DEC,D07,ALFAL,LABOR,0
BETA_DEC,D07,ALFAL,SUPPL,0
BETA_DEC,D07,ALPIS,LAND,0.007539538
BETA_DEC,D07,ALPIS,WATER,0.992460462
BETA_DEC,D07,ALPIS,LABOR,0
BETA_DEC,D07,ALPIS,SUPPL,0
BETA_DEC,D07,CORN,LAND,0.087720615
BETA_DEC,D07,CORN,WATER,0.912277652
BETA_DEC,D07,CORN,LABOR,8E-10
BETA_DEC,D07,CORN,SUPPL,1.7332E-06
BETA_DEC,D07,COTTN,LAND,0.009270583
BETA_DEC,D07,COTTN,WATER,0.990729405
BETA_DEC,D07,COTTN,LABOR,0
BETA_DEC,D07,COTTN,SUPPL,1.24E-08
BETA_DEC,D07,CUCUR,LAND,0
BETA_DEC,D07,CUCUR,WATER,0
BETA_DEC,D07,CUCUR,LABOR,0
BETA_DEC,D07,CUCUR,SUPPL,0
BETA_DEC,D07,DRYBN,LAND,0.156660166
BETA_DEC,D07,DRYBN,WATER,0.843213145
BETA_DEC,D07,DRYBN,LABOR,3.582E-07
BETA_DEC,D07,DRYBN,SUPPL,0.000126331
BETA_DEC,D07,FRTOM,LAND,0
BETA_DEC,D07,FRTOM,WATER,0
BETA_DEC,D07,FRTOM,LABOR,0
BETA_DEC,D07,FRTOM,SUPPL,0
BETA_DEC,D07,GRAIN,LAND,0.490234038
BETA_DEC,D07,GRAIN,WATER,0.509765962
BETA_DEC,D07,GRAIN,LABOR,0
BETA_DEC,D07,GRAIN,SUPPL,4E-10
BETA_DEC,D07,ONGAR,LAND,0.038443489
BETA_DEC,D07,ONGAR,WATER,0.505973696
BETA_DEC,D07,ONGAR,LABOR,0.000552678
BETA_DEC,D07,ONGAR,SUPPL,0.455030137
BETA_DEC,D07,OTHDEC,LAND,0
BETA_DEC,D07,OTHDEC,WATER,0
BETA_DEC,D07,OTHDEC,LABOR,0
BETA_DEC,D07,OTHDEC,SUPPL,0
BETA_DEC,D07,OTHFLD,LAND,0.0175555
BETA_DEC,D07,OTHFLD,WATER,0.982444357
BETA_DEC,D07,OTHFLD,LABOR,1.4E-09
BETA_DEC,D07,OTHFLD,SUPPL,1.423E-07
BETA_DEC,D07,OTHTRK,LAND,0.4924041
BETA_DEC,D07,OTHTRK,WATER,0.506494067
BETA_DEC,D07,OTHTRK,LABOR,5.53E-08
BETA_DEC,D07,OTHTRK,SUPPL,0.001101778
BETA_DEC,D07,PASTR,LAND,0.000267261
BETA_DEC,D07,PASTR,WATER,0.999732729
BETA_DEC,D07,PASTR,LABOR,0
BETA_DEC,D07,PASTR,SUPPL,9.3E-09
BETA_DEC,D07,POTATO,LAND,0.651875926
BETA_DEC,D07,POTATO,WATER,0.347985148
BETA_DEC,D07,POTATO,LABOR,3.81E-08
BETA_DEC,D07,POTATO,SUPPL,0.000138888
BETA_DEC,D07,PRTOM,LAND,0.001863011
BETA_DEC,D07,PRTOM,WATER,0.005361755
BETA_DEC,D07,PRTOM,LABOR,0.003614957
BETA_DEC,D07,PRTOM,SUPPL,0.989160278
BETA_DEC,D07,RICE,LAND,0
BETA_DEC,D07,RICE,WATER,0
BETA_DEC,D07,RICE,LABOR,0
BETA_DEC,D07,RICE,SUPPL,0
BETA_DEC,D07,SAFLR,LAND,0
BETA_DEC,D07,SAFLR,WATER,0
BETA_DEC,D07,SAFLR,LABOR,0
BETA_DEC,D07,SAFLR,SUPPL,0
BETA_DEC,D07,SBEET,LAND,0
BETA_DEC,D07,SBEET,WATER,0
BETA_DEC,D07,SBEET,LABOR,0
BETA_DEC,D07,SBEET,SUPPL,0
