Parameter,Region,Crop,Level
Delta,fk08,RICE,0
Delta,fk08,SAFLR,0
Delta,fk08,SBEET,0
Delta,fk08,SUBTRP,387298.8
Delta,fk08,VINE,457.08
Delta,fk01,ALFAL,2758.32
Delta,fk01,ALPIS,1575.1
Delta,fk01,CORN,3999.7
Delta,fk01,COTTN,0
Delta,fk01,CUCUR,0
Delta,fk01,DRYBN,29.14
Delta,fk01,FRTOM,0
Delta,fk01,GRAIN,0
Delta,fk01,ONGAR,0
Delta,fk01,OTHDEC,131.51
Delta,fk01,OTHFLD,0
Delta,fk01,OTHTRK,9078.44
Delta,fk01,PASTR,0
Delta,fk01,POTATO,0
Delta,fk01,PRTOM,0
Delta,fk01,RICE,0
Delta,fk01,SAFLR,0
Delta,fk01,SBEET,0
Delta,fk01,SUBTRP,335154.48
Delta,fk01,VINE,3016.35
Delta,fk06,ALFAL,802991.34
Delta,fk06,ALPIS,1181.77
Delta,fk06,CORN,2188868.68
Delta,fk06,COTTN,0
Delta,fk06,CUCUR,0
Delta,fk06,DRYBN,140.03
Delta,fk06,FRTOM,21723.51
Delta,fk06,GRAIN,6989.55
Delta,fk06,ONGAR,0
Delta,fk06,OTHDEC,799.71
Delta,fk06,OTHFLD,0
Delta,fk06,OTHTRK,9995.59
Delta,fk06,PASTR,822.55
Delta,fk06,POTATO,0
Delta,fk06,PRTOM,0
Delta,fk06,RICE,0
Delta,fk06,SAFLR,0
Delta,fk06,SBEET,0
Delta,fk06,SUBTRP,102216.1
Delta,fk06,VINE,234.09
Delta,fk03,ALFAL,3122.07
Delta,fk03,ALPIS,346.33
Delta,fk03,CORN,0
Delta,fk03,COTTN,0
Delta,fk03,CUCUR,0
Delta,fk03,DRYBN,0
Delta,fk03,FRTOM,0
Delta,fk03,GRAIN,0
Delta,fk03,ONGAR,0
Delta,fk03,OTHDEC,31.03
Delta,fk03,OTHFLD,0
Delta,fk03,OTHTRK,1727.37
Delta,fk03,PASTR,0
Delta,fk03,POTATO,0
Delta,fk03,PRTOM,0
Delta,fk03,RICE,0
Delta,fk03,SAFLR,0
Delta,fk03,SBEET,0
Delta,fk03,SUBTRP,112962.9
Delta,fk03,VINE,614.59
Delta,fk05,ALFAL,0
Delta,fk05,ALPIS,0
Delta,fk05,CORN,0
Delta,fk05,COTTN,0
Delta,fk05,CUCUR,0
Delta,fk05,DRYBN,0
Delta,fk05,FRTOM,0
Delta,fk05,GRAIN,0
Delta,fk05,ONGAR,0
Delta,fk05,OTHDEC,10.02
Delta,fk05,OTHFLD,0
Delta,fk05,OTHTRK,0
Delta,fk05,PASTR,0
Delta,fk05,POTATO,0
Delta,fk05,PRTOM,0
Delta,fk05,RICE,0
Delta,fk05,SAFLR,0
Delta,fk05,SBEET,0
Delta,fk05,SUBTRP,55345.87
Delta,fk05,VINE,0
Delta,fk02,ALFAL,0
Delta,fk02,ALPIS,1.86
Delta,fk02,CORN,0
Delta,fk02,COTTN,0
Delta,fk02,CUCUR,0
Delta,fk02,DRYBN,0
Delta,fk02,FRTOM,0
Delta,fk02,GRAIN,0
Delta,fk02,ONGAR,0
Delta,fk02,OTHDEC,39.04
Delta,fk02,OTHFLD,0
Delta,fk02,OTHTRK,0
Delta,fk02,PASTR,0
Delta,fk02,POTATO,0
Delta,fk02,PRTOM,0
Delta,fk02,RICE,0
Delta,fk02,SAFLR,0
Delta,fk02,SBEET,0
Delta,fk02,SUBTRP,109683.27
Delta,fk02,VINE,13.19
Delta,fk04,ALFAL,41534.27
Delta,fk04,ALPIS,62.92
Delta,fk04,CORN,41611.83
Delta,fk04,COTTN,0
Delta,fk04,CUCUR,0
Delta,fk04,DRYBN,284.35
Delta,fk04,FRTOM,0
Delta,fk04,GRAIN,1877.42
Delta,fk04,ONGAR,0
Delta,fk04,OTHDEC,380.02
Delta,fk04,OTHFLD,0
Delta,fk04,OTHTRK,1062.1
Delta,fk04,PASTR,1298.39
Delta,fk04,POTATO,0
Delta,fk04,PRTOM,0
Delta,fk04,RICE,0
Delta,fk04,SAFLR,0
Delta,fk04,SBEET,0
Delta,fk04,SUBTRP,2273607.5
Delta,fk04,VINE,134.26
Delta,fk07,ALFAL,84230.74
Delta,fk07,ALPIS,146.06
Delta,fk07,CORN,74351.87
Delta,fk07,COTTN,0
Delta,fk07,CUCUR,0
Delta,fk07,DRYBN,74.91
Delta,fk07,FRTOM,0
Delta,fk07,GRAIN,5157.67
Delta,fk07,ONGAR,0
Delta,fk07,OTHDEC,742.09
Delta,fk07,OTHFLD,0
Delta,fk07,OTHTRK,3049.81
Delta,fk07,PASTR,908.86
Delta,fk07,POTATO,0
Delta,fk07,PRTOM,0
Delta,fk07,RICE,0
Delta,fk07,SAFLR,0
Delta,fk07,SBEET,0
Delta,fk07,SUBTRP,139565.56
Delta,fk07,VINE,84.29
Delta,fk11,ALFAL,0
Delta,fk11,ALPIS,0
Delta,fk11,CORN,0
Delta,fk11,COTTN,0
Delta,fk11,CUCUR,0
Delta,fk11,DRYBN,0
Delta,fk11,FRTOM,0
Delta,fk11,GRAIN,0
Delta,fk11,ONGAR,0
Delta,fk11,OTHDEC,0
Delta,fk11,OTHFLD,0
Delta,fk11,OTHTRK,0
Delta,fk11,PASTR,0
Delta,fk11,POTATO,0
Delta,fk11,PRTOM,0
Delta,fk11,RICE,0
Delta,fk11,SAFLR,0
Delta,fk11,SBEET,0
Delta,fk11,SUBTRP,26471.04
Delta,fk11,VINE,0
Delta,fk14,ALFAL,0
Delta,fk14,ALPIS,0
Delta,fk14,CORN,0
Delta,fk14,COTTN,0
Delta,fk14,CUCUR,0
Delta,fk14,DRYBN,0
Delta,fk14,FRTOM,0
Delta,fk14,GRAIN,0
Delta,fk14,ONGAR,0
Delta,fk14,OTHDEC,0
Delta,fk14,OTHFLD,0
Delta,fk14,OTHTRK,0
Delta,fk14,PASTR,0
Delta,fk14,POTATO,0
Delta,fk14,PRTOM,0
Delta,fk14,RICE,0
Delta,fk14,SAFLR,0
Delta,fk14,SBEET,0
Delta,fk14,SUBTRP,0
Delta,fk14,VINE,0
Delta,fk12,ALFAL,0
Delta,fk12,ALPIS,97.54
Delta,fk12,CORN,0
Delta,fk12,COTTN,0
Delta,fk12,CUCUR,0
Delta,fk12,DRYBN,0
Delta,fk12,FRTOM,0
Delta,fk12,GRAIN,657.32
Delta,fk12,ONGAR,0
Delta,fk12,OTHDEC,32.02
Delta,fk12,OTHFLD,0
Delta,fk12,OTHTRK,0
Delta,fk12,PASTR,0
Delta,fk12,POTATO,0
Delta,fk12,PRTOM,0
Delta,fk12,RICE,0
Delta,fk12,SAFLR,0
Delta,fk12,SBEET,0
Delta,fk12,SUBTRP,171672.08
Delta,fk12,VINE,0
Delta,fk10,ALFAL,74248.62
Delta,fk10,ALPIS,1407.6
Delta,fk10,CORN,31202.46
Delta,fk10,COTTN,26089.24
Delta,fk10,CUCUR,0
Delta,fk10,DRYBN,0
Delta,fk10,FRTOM,0
Delta,fk10,GRAIN,31455.17
Delta,fk10,ONGAR,2611.85
Delta,fk10,OTHDEC,192.9
Delta,fk10,OTHFLD,107227.98
Delta,fk10,OTHTRK,2978.66
Delta,fk10,PASTR,0
Delta,fk10,POTATO,0
Delta,fk10,PRTOM,0
Delta,fk10,RICE,0
Delta,fk10,SAFLR,0
Delta,fk10,SBEET,0
Delta,fk10,SUBTRP,2958511.06
Delta,fk10,VINE,1961.14
Delta,fk09,ALFAL,137058.54
Delta,fk09,ALPIS,1386
Delta,fk09,CORN,22506.89
Delta,fk09,COTTN,28620.46
Delta,fk09,CUCUR,0
Delta,fk09,DRYBN,205.78
Delta,fk09,FRTOM,0
Delta,fk09,GRAIN,24744.62
Delta,fk09,ONGAR,1385.21
Delta,fk09,OTHDEC,162.77
Delta,fk09,OTHFLD,0
Delta,fk09,OTHTRK,13676.2
Delta,fk09,PASTR,0
Delta,fk09,POTATO,3431.04
Delta,fk09,PRTOM,3488.05
Delta,fk09,RICE,0
Delta,fk09,SAFLR,0
Delta,fk09,SBEET,0
Delta,fk09,SUBTRP,0
Delta,fk09,VINE,207.99
Delta,ot2,ALFAL,113119.2
Delta,ot2,ALPIS,3032.23
Delta,ot2,CORN,11302.42
Delta,ot2,COTTN,162997.1
Delta,ot2,CUCUR,0
Delta,ot2,DRYBN,122.36
Delta,ot2,FRTOM,0
Delta,ot2,GRAIN,40538.12
Delta,ot2,ONGAR,9785.7
Delta,ot2,OTHDEC,217.93
Delta,ot2,OTHFLD,83255.38
Delta,ot2,OTHTRK,33488.41
Delta,ot2,PASTR,0
Delta,ot2,POTATO,14305.38
Delta,ot2,PRTOM,8858.48
Delta,ot2,RICE,0
Delta,ot2,SAFLR,0
Delta,ot2,SBEET,0
Delta,ot2,SUBTRP,0
Delta,ot2,VINE,747.4
Delta,ot3,ALFAL,0
Delta,ot3,ALPIS,3.37
Delta,ot3,CORN,0
Delta,ot3,COTTN,0
Delta,ot3,CUCUR,0
Delta,ot3,DRYBN,0
Delta,ot3,FRTOM,0
Delta,ot3,GRAIN,0
Delta,ot3,ONGAR,0
Delta,ot3,OTHDEC,0
Delta,ot3,OTHFLD,0
Delta,ot3,OTHTRK,0
Delta,ot3,PASTR,0
Delta,ot3,POTATO,0
Delta,ot3,PRTOM,0
Delta,ot3,RICE,0
Delta,ot3,SAFLR,0
Delta,ot3,SBEET,0
Delta,ot3,SUBTRP,282624.66
Delta,ot3,VINE,0
Delta,ot1,ALFAL,0
Delta,ot1,ALPIS,282.02
Delta,ot1,CORN,0
Delta,ot1,COTTN,0
Delta,ot1,CUCUR,0
Delta,ot1,DRYBN,0
Delta,ot1,FRTOM,0
Delta,ot1,GRAIN,0
Delta,ot1,ONGAR,0
Delta,ot1,OTHDEC,256.76
Delta,ot1,OTHFLD,0
Delta,ot1,OTHTRK,0
Delta,ot1,PASTR,0
Delta,ot1,POTATO,0
Delta,ot1,PRTOM,0
Delta,ot1,RICE,0
Delta,ot1,SAFLR,0
Delta,ot1,SBEET,0
Delta,ot1,SUBTRP,0
Delta,ot1,VINE,72.96
