Parameter,Region,Crop,Input,Level
Beta,D03,PASTR,WATER,0
Beta,D03,PASTR,LABOR,0
Beta,D03,PASTR,SUPPL,0
Beta,D03,POTATO,LAND,0.2
Beta,D03,POTATO,WATER,0.8
Beta,D03,POTATO,LABOR,0
Beta,D03,POTATO,SUPPL,0
Beta,D03,PRTOM,LAND,0.19
Beta,D03,PRTOM,WATER,0.81
Beta,D03,PRTOM,LABOR,0
Beta,D03,PRTOM,SUPPL,0
Beta,D03,RICE,LAND,0
Beta,D03,RICE,WATER,0
Beta,D03,RICE,LABOR,0
Beta,D03,RICE,SUPPL,0
Beta,D03,SAFLR,LAND,0.03
Beta,D03,SAFLR,WATER,0.97
Beta,D03,SAFLR,LABOR,0
Beta,D03,SAFLR,SUPPL,0
Beta,D03,SBEET,LAND,0
Beta,D03,SBEET,WATER,0
Beta,D03,SBEET,LABOR,0
Beta,D03,SBEET,SUPPL,0
Beta,D03,SUBTRP,LAND,0.02
Beta,D03,SUBTRP,WATER,0.98
Beta,D03,SUBTRP,LABOR,0
Beta,D03,SUBTRP,SUPPL,0
Beta,D03,VINE,LAND,0.04
Beta,D03,VINE,WATER,0.96
Beta,D03,VINE,LABOR,0
Beta,D03,VINE,SUPPL,0
Beta,D04,ALFAL,LAND,0
Beta,D04,ALFAL,WATER,1
Beta,D04,ALFAL,LABOR,0
Beta,D04,ALFAL,SUPPL,0
Beta,D04,ALPIS,LAND,0
Beta,D04,ALPIS,WATER,0
Beta,D04,ALPIS,LABOR,0
Beta,D04,ALPIS,SUPPL,0
Beta,D04,CORN,LAND,0
Beta,D04,CORN,WATER,0
Beta,D04,CORN,LABOR,0
Beta,D04,CORN,SUPPL,0
Beta,D04,COTTN,LAND,0
Beta,D04,COTTN,WATER,0
Beta,D04,COTTN,LABOR,0
Beta,D04,COTTN,SUPPL,0
Beta,D04,CUCUR,LAND,0
Beta,D04,CUCUR,WATER,0
Beta,D04,CUCUR,LABOR,0
Beta,D04,CUCUR,SUPPL,0
Beta,D04,DRYBN,LAND,0
Beta,D04,DRYBN,WATER,0
Beta,D04,DRYBN,LABOR,0
Beta,D04,DRYBN,SUPPL,0
Beta,D04,FRTOM,LAND,0
Beta,D04,FRTOM,WATER,0
Beta,D04,FRTOM,LABOR,0
Beta,D04,FRTOM,SUPPL,0
Beta,D04,GRAIN,LAND,0
Beta,D04,GRAIN,WATER,0
Beta,D04,GRAIN,LABOR,0
Beta,D04,GRAIN,SUPPL,0
Beta,D04,ONGAR,LAND,0
Beta,D04,ONGAR,WATER,0
Beta,D04,ONGAR,LABOR,0
Beta,D04,ONGAR,SUPPL,1
Beta,D04,OTHDEC,LAND,0
Beta,D04,OTHDEC,WATER,0
Beta,D04,OTHDEC,LABOR,0
Beta,D04,OTHDEC,SUPPL,0
Beta,D04,OTHFLD,LAND,0
Beta,D04,OTHFLD,WATER,0
Beta,D04,OTHFLD,LABOR,0
Beta,D04,OTHFLD,SUPPL,0
Beta,D04,OTHTRK,LAND,0
Beta,D04,OTHTRK,WATER,0
Beta,D04,OTHTRK,LABOR,0
Beta,D04,OTHTRK,SUPPL,1
Beta,D04,PASTR,LAND,0
Beta,D04,PASTR,WATER,0
Beta,D04,PASTR,LABOR,0
Beta,D04,PASTR,SUPPL,0
Beta,D04,POTATO,LAND,0
Beta,D04,POTATO,WATER,0
Beta,D04,POTATO,LABOR,0
Beta,D04,POTATO,SUPPL,0
Beta,D04,PRTOM,LAND,0
Beta,D04,PRTOM,WATER,0
Beta,D04,PRTOM,LABOR,0
Beta,D04,PRTOM,SUPPL,0
Beta,D04,RICE,LAND,0
Beta,D04,RICE,WATER,0
Beta,D04,RICE,LABOR,0
Beta,D04,RICE,SUPPL,0
Beta,D04,SAFLR,LAND,0
Beta,D04,SAFLR,WATER,0
Beta,D04,SAFLR,LABOR,0
Beta,D04,SAFLR,SUPPL,0
Beta,D04,SBEET,LAND,0
Beta,D04,SBEET,WATER,0
Beta,D04,SBEET,LABOR,0
Beta,D04,SBEET,SUPPL,0
Beta,D04,SUBTRP,LAND,0.02
Beta,D04,SUBTRP,WATER,0.92
Beta,D04,SUBTRP,LABOR,0
Beta,D04,SUBTRP,SUPPL,0.05
Beta,D04,VINE,LAND,0
Beta,D04,VINE,WATER,0
Beta,D04,VINE,LABOR,0
Beta,D04,VINE,SUPPL,0
Beta,D01,ALFAL,LAND,0
Beta,D01,ALFAL,WATER,0
Beta,D01,ALFAL,LABOR,0
Beta,D01,ALFAL,SUPPL,0
Beta,D01,ALPIS,LAND,0
Beta,D01,ALPIS,WATER,0
Beta,D01,ALPIS,LABOR,0
Beta,D01,ALPIS,SUPPL,0
Beta,D01,CORN,LAND,0
Beta,D01,CORN,WATER,0
Beta,D01,CORN,LABOR,0
Beta,D01,CORN,SUPPL,0
Beta,D01,COTTN,LAND,0
Beta,D01,COTTN,WATER,0
Beta,D01,COTTN,LABOR,0
Beta,D01,COTTN,SUPPL,0
Beta,D01,CUCUR,LAND,0
Beta,D01,CUCUR,WATER,0
Beta,D01,CUCUR,LABOR,0
Beta,D01,CUCUR,SUPPL,0
Beta,D01,DRYBN,LAND,0
Beta,D01,DRYBN,WATER,0
Beta,D01,DRYBN,LABOR,0
Beta,D01,DRYBN,SUPPL,0
Beta,D01,FRTOM,LAND,0
Beta,D01,FRTOM,WATER,0
Beta,D01,FRTOM,LABOR,0
Beta,D01,FRTOM,SUPPL,0
Beta,D01,GRAIN,LAND,0
Beta,D01,GRAIN,WATER,0
Beta,D01,GRAIN,LABOR,0
Beta,D01,GRAIN,SUPPL,0
Beta,D01,ONGAR,LAND,0
Beta,D01,ONGAR,WATER,0
Beta,D01,ONGAR,LABOR,0
Beta,D01,ONGAR,SUPPL,0
Beta,D01,OTHDEC,LAND,0
Beta,D01,OTHDEC,WATER,0
Beta,D01,OTHDEC,LABOR,0
Beta,D01,OTHDEC,SUPPL,0
Beta,D01,OTHFLD,LAND,0
Beta,D01,OTHFLD,WATER,0
Beta,D01,OTHFLD,LABOR,0
Beta,D01,OTHFLD,SUPPL,0
Beta,D01,OTHTRK,LAND,0
Beta,D01,OTHTRK,WATER,0
Beta,D01,OTHTRK,LABOR,0
Beta,D01,OTHTRK,SUPPL,0
Beta,D01,PASTR,LAND,0
Beta,D01,PASTR,WATER,0
Beta,D01,PASTR,LABOR,0
Beta,D01,PASTR,SUPPL,0
Beta,D01,POTATO,LAND,0
Beta,D01,POTATO,WATER,0
Beta,D01,POTATO,LABOR,0
Beta,D01,POTATO,SUPPL,0
Beta,D01,PRTOM,LAND,0
Beta,D01,PRTOM,WATER,0
Beta,D01,PRTOM,LABOR,0
Beta,D01,PRTOM,SUPPL,0
Beta,D01,RICE,LAND,0
Beta,D01,RICE,WATER,0
Beta,D01,RICE,LABOR,0
Beta,D01,RICE,SUPPL,0
Beta,D01,SAFLR,LAND,0
Beta,D01,SAFLR,WATER,0
Beta,D01,SAFLR,LABOR,0
Beta,D01,SAFLR,SUPPL,0
Beta,D01,SBEET,LAND,0
Beta,D01,SBEET,WATER,0
Beta,D01,SBEET,LABOR,0
Beta,D01,SBEET,SUPPL,0
Beta,D01,SUBTRP,LAND,0
Beta,D01,SUBTRP,WATER,0
Beta,D01,SUBTRP,LABOR,0
Beta,D01,SUBTRP,SUPPL,0
Beta,D01,VINE,LAND,0
Beta,D01,VINE,WATER,0
Beta,D01,VINE,LABOR,0
Beta,D01,VINE,SUPPL,0
Beta,D05,ALFAL,LAND,0
Beta,D05,ALFAL,WATER,0
Beta,D05,ALFAL,LABOR,0
Beta,D05,ALFAL,SUPPL,0
Beta,D05,ALPIS,LAND,0.01
Beta,D05,ALPIS,WATER,0.99
Beta,D05,ALPIS,LABOR,0
Beta,D05,ALPIS,SUPPL,0
Beta,D05,CORN,LAND,0
Beta,D05,CORN,WATER,0
Beta,D05,CORN,LABOR,0
Beta,D05,CORN,SUPPL,0
Beta,D05,COTTN,LAND,0
Beta,D05,COTTN,WATER,0
Beta,D05,COTTN,LABOR,0
Beta,D05,COTTN,SUPPL,0
Beta,D05,CUCUR,LAND,0
Beta,D05,CUCUR,WATER,0
Beta,D05,CUCUR,LABOR,0.99
Beta,D05,CUCUR,SUPPL,0.01
Beta,D05,DRYBN,LAND,0
Beta,D05,DRYBN,WATER,0
Beta,D05,DRYBN,LABOR,0
Beta,D05,DRYBN,SUPPL,0
Beta,D05,FRTOM,LAND,0
Beta,D05,FRTOM,WATER,0
Beta,D05,FRTOM,LABOR,0
Beta,D05,FRTOM,SUPPL,0
Beta,D05,GRAIN,LAND,0.25
Beta,D05,GRAIN,WATER,0.75
Beta,D05,GRAIN,LABOR,0
Beta,D05,GRAIN,SUPPL,0
Beta,D05,ONGAR,LAND,0
Beta,D05,ONGAR,WATER,0
Beta,D05,ONGAR,LABOR,0
Beta,D05,ONGAR,SUPPL,0
Beta,D05,OTHDEC,LAND,0.01
Beta,D05,OTHDEC,WATER,0.99
Beta,D05,OTHDEC,LABOR,0
Beta,D05,OTHDEC,SUPPL,0
Beta,D05,OTHFLD,LAND,0
Beta,D05,OTHFLD,WATER,1
Beta,D05,OTHFLD,LABOR,0
Beta,D05,OTHFLD,SUPPL,0
Beta,D05,OTHTRK,LAND,0.59
Beta,D05,OTHTRK,WATER,0.41
Beta,D05,OTHTRK,LABOR,0
Beta,D05,OTHTRK,SUPPL,0
Beta,D05,PASTR,LAND,0
Beta,D05,PASTR,WATER,0
Beta,D05,PASTR,LABOR,0
Beta,D05,PASTR,SUPPL,0
Beta,D05,POTATO,LAND,0
Beta,D05,POTATO,WATER,0
Beta,D05,POTATO,LABOR,0
Beta,D05,POTATO,SUPPL,0
Beta,D05,PRTOM,LAND,0
Beta,D05,PRTOM,WATER,0
Beta,D05,PRTOM,LABOR,0
Beta,D05,PRTOM,SUPPL,0
Beta,D05,RICE,LAND,0
Beta,D05,RICE,WATER,0
Beta,D05,RICE,LABOR,0
Beta,D05,RICE,SUPPL,0
Beta,D05,SAFLR,LAND,0.01
Beta,D05,SAFLR,WATER,0.99
Beta,D05,SAFLR,LABOR,0
Beta,D05,SAFLR,SUPPL,0
Beta,D05,SBEET,LAND,0
Beta,D05,SBEET,WATER,0
Beta,D05,SBEET,LABOR,0
Beta,D05,SBEET,SUPPL,0
Beta,D05,SUBTRP,LAND,0
Beta,D05,SUBTRP,WATER,0
Beta,D05,SUBTRP,LABOR,0
Beta,D05,SUBTRP,SUPPL,0
Beta,D05,VINE,LAND,0.02
Beta,D05,VINE,WATER,0.97
Beta,D05,VINE,LABOR,0.01
Beta,D05,VINE,SUPPL,0
Beta,D06,ALFAL,LAND,0
Beta,D06,ALFAL,WATER,1
Beta,D06,ALFAL,LABOR,0
Beta,D06,ALFAL,SUPPL,0
Beta,D06,ALPIS,LAND,0.01
Beta,D06,ALPIS,WATER,0.99
Beta,D06,ALPIS,LABOR,0
Beta,D06,ALPIS,SUPPL,0
Beta,D06,CORN,LAND,0.06
Beta,D06,CORN,WATER,0.94
Beta,D06,CORN,LABOR,0
Beta,D06,CORN,SUPPL,0
Beta,D06,COTTN,LAND,0.01
Beta,D06,COTTN,WATER,0.99
Beta,D06,COTTN,LABOR,0
Beta,D06,COTTN,SUPPL,0
Beta,D06,CUCUR,LAND,0
Beta,D06,CUCUR,WATER,0
Beta,D06,CUCUR,LABOR,0.99
Beta,D06,CUCUR,SUPPL,0.01
Beta,D06,DRYBN,LAND,0.08
Beta,D06,DRYBN,WATER,0.92
Beta,D06,DRYBN,LABOR,0
Beta,D06,DRYBN,SUPPL,0
Beta,D06,FRTOM,LAND,0
Beta,D06,FRTOM,WATER,0
Beta,D06,FRTOM,LABOR,0
Beta,D06,FRTOM,SUPPL,0
Beta,D06,GRAIN,LAND,0.45
Beta,D06,GRAIN,WATER,0.55
Beta,D06,GRAIN,LABOR,0
Beta,D06,GRAIN,SUPPL,0
Beta,D06,ONGAR,LAND,0.05
Beta,D06,ONGAR,WATER,0.95
Beta,D06,ONGAR,LABOR,0
Beta,D06,ONGAR,SUPPL,0
Beta,D06,OTHDEC,LAND,0.02
Beta,D06,OTHDEC,WATER,0.98
Beta,D06,OTHDEC,LABOR,0
Beta,D06,OTHDEC,SUPPL,0
Beta,D06,OTHFLD,LAND,0.01
Beta,D06,OTHFLD,WATER,0.99
Beta,D06,OTHFLD,LABOR,0
Beta,D06,OTHFLD,SUPPL,0
Beta,D06,OTHTRK,LAND,0.37
Beta,D06,OTHTRK,WATER,0.63
Beta,D06,OTHTRK,LABOR,0
Beta,D06,OTHTRK,SUPPL,0
Beta,D06,PASTR,LAND,0
Beta,D06,PASTR,WATER,1
Beta,D06,PASTR,LABOR,0
Beta,D06,PASTR,SUPPL,0
Beta,D06,POTATO,LAND,0
Beta,D06,POTATO,WATER,0
Beta,D06,POTATO,LABOR,0
Beta,D06,POTATO,SUPPL,0
Beta,D06,PRTOM,LAND,0.19
Beta,D06,PRTOM,WATER,0.81
Beta,D06,PRTOM,LABOR,0
Beta,D06,PRTOM,SUPPL,0
Beta,D06,RICE,LAND,0
Beta,D06,RICE,WATER,0
Beta,D06,RICE,LABOR,0
Beta,D06,RICE,SUPPL,0
Beta,D06,SAFLR,LAND,0.03
Beta,D06,SAFLR,WATER,0.97
Beta,D06,SAFLR,LABOR,0
Beta,D06,SAFLR,SUPPL,0
Beta,D06,SBEET,LAND,0
Beta,D06,SBEET,WATER,0
Beta,D06,SBEET,LABOR,0
Beta,D06,SBEET,SUPPL,0
Beta,D06,SUBTRP,LAND,0.05
Beta,D06,SUBTRP,WATER,0.95
Beta,D06,SUBTRP,LABOR,0
Beta,D06,SUBTRP,SUPPL,0
Beta,D06,VINE,LAND,0.04
Beta,D06,VINE,WATER,0.96
Beta,D06,VINE,LABOR,0
Beta,D06,VINE,SUPPL,0
Beta,D07,ALFAL,LAND,0
Beta,D07,ALFAL,WATER,1
Beta,D07,ALFAL,LABOR,0
Beta,D07,ALFAL,SUPPL,0
Beta,D07,ALPIS,LAND,0.01
Beta,D07,ALPIS,WATER,0.99
Beta,D07,ALPIS,LABOR,0
Beta,D07,ALPIS,SUPPL,0
Beta,D07,CORN,LAND,0.09
Beta,D07,CORN,WATER,0.91
Beta,D07,CORN,LABOR,0
Beta,D07,CORN,SUPPL,0
Beta,D07,COTTN,LAND,0.01
Beta,D07,COTTN,WATER,0.99
Beta,D07,COTTN,LABOR,0
Beta,D07,COTTN,SUPPL,0
Beta,D07,CUCUR,LAND,0
Beta,D07,CUCUR,WATER,0
Beta,D07,CUCUR,LABOR,0
Beta,D07,CUCUR,SUPPL,0
Beta,D07,DRYBN,LAND,0.16
Beta,D07,DRYBN,WATER,0.84
Beta,D07,DRYBN,LABOR,0
Beta,D07,DRYBN,SUPPL,0
Beta,D07,FRTOM,LAND,0
Beta,D07,FRTOM,WATER,0
Beta,D07,FRTOM,LABOR,0
Beta,D07,FRTOM,SUPPL,0
Beta,D07,GRAIN,LAND,0.49
Beta,D07,GRAIN,WATER,0.51
Beta,D07,GRAIN,LABOR,0
Beta,D07,GRAIN,SUPPL,0
Beta,D07,ONGAR,LAND,0.04
Beta,D07,ONGAR,WATER,0.51
Beta,D07,ONGAR,LABOR,0
Beta,D07,ONGAR,SUPPL,0.46
Beta,D07,OTHDEC,LAND,0
Beta,D07,OTHDEC,WATER,0
Beta,D07,OTHDEC,LABOR,0
Beta,D07,OTHDEC,SUPPL,0
Beta,D07,OTHFLD,LAND,0.02
Beta,D07,OTHFLD,WATER,0.98
Beta,D07,OTHFLD,LABOR,0
Beta,D07,OTHFLD,SUPPL,0
Beta,D07,OTHTRK,LAND,0.49
Beta,D07,OTHTRK,WATER,0.51
Beta,D07,OTHTRK,LABOR,0
Beta,D07,OTHTRK,SUPPL,0
Beta,D07,PASTR,LAND,0
Beta,D07,PASTR,WATER,1
Beta,D07,PASTR,LABOR,0
Beta,D07,PASTR,SUPPL,0
Beta,D07,POTATO,LAND,0.65
Beta,D07,POTATO,WATER,0.35
Beta,D07,POTATO,LABOR,0
Beta,D07,POTATO,SUPPL,0
Beta,D07,PRTOM,LAND,0
Beta,D07,PRTOM,WATER,0.01
Beta,D07,PRTOM,LABOR,0
Beta,D07,PRTOM,SUPPL,0.99
Beta,D07,RICE,LAND,0
Beta,D07,RICE,WATER,0
Beta,D07,RICE,LABOR,0
Beta,D07,RICE,SUPPL,0
Beta,D07,SAFLR,LAND,0
Beta,D07,SAFLR,WATER,0
Beta,D07,SAFLR,LABOR,0
Beta,D07,SAFLR,SUPPL,0
Beta,D07,SBEET,LAND,0
Beta,D07,SBEET,WATER,0
Beta,D07,SBEET,LABOR,0
Beta,D07,SBEET,SUPPL,0
Beta,D07,SUBTRP,LAND,0
Beta,D07,SUBTRP,WATER,0
Beta,D07,SUBTRP,LABOR,0
Beta,D07,SUBTRP,SUPPL,0
Beta,D07,VINE,LAND,0.03
Beta,D07,VINE,WATER,0.97
Beta,D07,VINE,LABOR,0
Beta,D07,VINE,SUPPL,0
Beta,D08,ALFAL,LAND,0
Beta,D08,ALFAL,WATER,1
Beta,D08,ALFAL,LABOR,0
Beta,D08,ALFAL,SUPPL,0
Beta,D08,ALPIS,LAND,0.03
Beta,D08,ALPIS,WATER,0.97
Beta,D08,ALPIS,LABOR,0
Beta,D08,ALPIS,SUPPL,0
Beta,D08,CORN,LAND,0.2
Beta,D08,CORN,WATER,0.8
Beta,D08,CORN,LABOR,0
Beta,D08,CORN,SUPPL,0
Beta,D08,COTTN,LAND,0.02
Beta,D08,COTTN,WATER,0.98
Beta,D08,COTTN,LABOR,0
Beta,D08,COTTN,SUPPL,0
Beta,D08,CUCUR,LAND,0
Beta,D08,CUCUR,WATER,0
Beta,D08,CUCUR,LABOR,0.99
Beta,D08,CUCUR,SUPPL,0.01
Beta,D08,DRYBN,LAND,0
Beta,D08,DRYBN,WATER,0
Beta,D08,DRYBN,LABOR,0
Beta,D08,DRYBN,SUPPL,0
Beta,D08,FRTOM,LAND,0
Beta,D08,FRTOM,WATER,0
Beta,D08,FRTOM,LABOR,0
Beta,D08,FRTOM,SUPPL,0
Beta,D08,GRAIN,LAND,0.76
Beta,D08,GRAIN,WATER,0.24
Beta,D08,GRAIN,LABOR,0
Beta,D08,GRAIN,SUPPL,0
Beta,D08,ONGAR,LAND,0.15
Beta,D08,ONGAR,WATER,0.85
Beta,D08,ONGAR,LABOR,0
Beta,D08,ONGAR,SUPPL,0
Beta,D08,OTHDEC,LAND,0.07
Beta,D08,OTHDEC,WATER,0.93
Beta,D08,OTHDEC,LABOR,0
Beta,D08,OTHDEC,SUPPL,0
Beta,D08,OTHFLD,LAND,0.04
Beta,D08,OTHFLD,WATER,0.96
Beta,D08,OTHFLD,LABOR,0
Beta,D08,OTHFLD,SUPPL,0
Beta,D08,OTHTRK,LAND,0
Beta,D08,OTHTRK,WATER,0
Beta,D08,OTHTRK,LABOR,0
Beta,D08,OTHTRK,SUPPL,0
Beta,D08,PASTR,LAND,0
Beta,D08,PASTR,WATER,0
Beta,D08,PASTR,LABOR,0
Beta,D08,PASTR,SUPPL,0
Beta,D08,POTATO,LAND,0
Beta,D08,POTATO,WATER,0
Beta,D08,POTATO,LABOR,0
Beta,D08,POTATO,SUPPL,0
Beta,D08,PRTOM,LAND,0.44
Beta,D08,PRTOM,WATER,0.56
Beta,D08,PRTOM,LABOR,0
Beta,D08,PRTOM,SUPPL,0
Beta,D08,RICE,LAND,0
Beta,D08,RICE,WATER,0
Beta,D08,RICE,LABOR,0
Beta,D08,RICE,SUPPL,0
Beta,D08,SAFLR,LAND,0
Beta,D08,SAFLR,WATER,0
Beta,D08,SAFLR,LABOR,0
Beta,D08,SAFLR,SUPPL,0
Beta,D08,SBEET,LAND,0
Beta,D08,SBEET,WATER,0
Beta,D08,SBEET,LABOR,0
Beta,D08,SBEET,SUPPL,0
Beta,D08,SUBTRP,LAND,0
Beta,D08,SUBTRP,WATER,0.02
Beta,D08,SUBTRP,LABOR,0
Beta,D08,SUBTRP,SUPPL,0.98
Beta,D08,VINE,LAND,0.11
Beta,D08,VINE,WATER,0.89
Beta,D08,VINE,LABOR,0
Beta,D08,VINE,SUPPL,0
Beta,D09,ALFAL,LAND,0
Beta,D09,ALFAL,WATER,0
Beta,D09,ALFAL,LABOR,0
Beta,D09,ALFAL,SUPPL,0
Beta,D09,ALPIS,LAND,0
Beta,D09,ALPIS,WATER,1
Beta,D09,ALPIS,LABOR,0
Beta,D09,ALPIS,SUPPL,0
Beta,D09,CORN,LAND,0
Beta,D09,CORN,WATER,0
Beta,D09,CORN,LABOR,0
Beta,D09,CORN,SUPPL,0
Beta,D09,COTTN,LAND,0
Beta,D09,COTTN,WATER,0
Beta,D09,COTTN,LABOR,0
Beta,D09,COTTN,SUPPL,0
Beta,D09,CUCUR,LAND,0
Beta,D09,CUCUR,WATER,0
Beta,D09,CUCUR,LABOR,0.99
Beta,D09,CUCUR,SUPPL,0.01
Beta,D09,DRYBN,LAND,0
Beta,D09,DRYBN,WATER,0
Beta,D09,DRYBN,LABOR,0
Beta,D09,DRYBN,SUPPL,0
Beta,D09,FRTOM,LAND,0
Beta,D09,FRTOM,WATER,0
Beta,D09,FRTOM,LABOR,0
Beta,D09,FRTOM,SUPPL,0
Beta,D09,GRAIN,LAND,0.06
Beta,D09,GRAIN,WATER,0.94
Beta,D09,GRAIN,LABOR,0
Beta,D09,GRAIN,SUPPL,0
Beta,D09,ONGAR,LAND,0
Beta,D09,ONGAR,WATER,0
Beta,D09,ONGAR,LABOR,0
Beta,D09,ONGAR,SUPPL,0
Beta,D09,OTHDEC,LAND,0
Beta,D09,OTHDEC,WATER,1
Beta,D09,OTHDEC,LABOR,0
Beta,D09,OTHDEC,SUPPL,0
Beta,D09,OTHFLD,LAND,0
Beta,D09,OTHFLD,WATER,0
Beta,D09,OTHFLD,LABOR,0
Beta,D09,OTHFLD,SUPPL,0
Beta,D09,OTHTRK,LAND,0.01
Beta,D09,OTHTRK,WATER,0.02
Beta,D09,OTHTRK,LABOR,0
Beta,D09,OTHTRK,SUPPL,0.98
Beta,D09,PASTR,LAND,0
Beta,D09,PASTR,WATER,0
Beta,D09,PASTR,LABOR,0
Beta,D09,PASTR,SUPPL,0
Beta,D09,POTATO,LAND,0.03
Beta,D09,POTATO,WATER,0.14
Beta,D09,POTATO,LABOR,0
Beta,D09,POTATO,SUPPL,0.83
Beta,D09,PRTOM,LAND,0
Beta,D09,PRTOM,WATER,0
Beta,D09,PRTOM,LABOR,0
Beta,D09,PRTOM,SUPPL,0
